name,DS100,Laenge,Breite,osm_id,osm_name
Basel SBB,XSB,7.5896417,47.5476225,3080746011.0,Basel SBB
Bft Einf SBB PB,RXBA,,,,
Stuttgart Flughafen NBS,TFL N,9.1924211,48.692426,8372657436.0,Stuttgart Flughafen Fernbahnhof
Stuttgart Hbf,TS F,9.1821173,48.7842663,6242866774.0,Stuttgart Hauptbahnhof
Üst Richterich,KRIC,,,,
Alsdorf-Mariagrube,KMAG,6.1853578,50.8663192,523027110.0,Mariagrube Maf
Alsdorf-Hoengen,YKHOE,6.2122024,50.8686201,91834039.0,Hoengen
Alsdorf-Hoengen Gewerbegebiet,YKHOEG,,,,
Siersdorf,KSIE,6.2267319,50.8982624,9941817.0,Siersdorf
Baesweiler-Setterich,YKSET,6.2035269,50.9228939,171416.0,Setterich
Baesweiler Gewerbegebiet,YKBASG,6.1738707,50.9191355,613398621.0,Gewerbegebiet ITS
Baesweiler Carl-Alexander-Park,YKBASC,6.1583687,50.9086087,3393059.0,Carl-Alexander Park
Emmerich Grenze,EXEM,6.1665657,51.8407809,2385169282.0,Grenze Bundesrepublik Deutschland/Niederlande
Zevenaar,XNZV,6.0775263,51.9279081,417702.0,Zevenaar
Arnhem,XNAH,5.8762345,52.0056642,272939.0,Arnhem
Jena Burgau,YUJB,11.593222,50.8967027,3424024.0,Burgau
Binz LB,XBINZLB,13.6109363,54.3923739,5261023408.0,Binz LB
Jagdschloß,XJAGD,13.6250811,52.2982658,24336890.0,Jagdschloss
Garftitz,XGARF,13.6421498,54.3694529,332074556.0,Garftitz
Sellin (Rügen) West,XSELLW,,,,
Sellin (Rügen) Ost,XSELLO,13.6988792,54.3712554,376224508.0,Sellin-Ost
Baabe,XBAAB,13.7043671,54.3602126,1437797.0,Baabe
Philippshagen,XPHS,13.706913,54.331315,2730583112.0,Philippshagen
Göhren (Rügen),XGOE,13.7184611,54.3287284,190633415.0,Rugen
Berlin-Schöneberg Bbf,BSBB,13.336329,52.496107,2878157401.0,Mellenthin Schmidt bbf
Berlin-Düppel,BDP,13.2400309,52.4260371,79995218.0,Justizvollzugsanstalt Düppel
Europarc (Dreilinden),YBEUP,13.1881368,52.4063125,797808872.0,Europarc Dreilinden
Birkenwerder,BBI,13.2831336,52.6884408,1310088.0,Birkenwerder
Wankendorf,AWD,10.2049631,54.1126768,310415.0,Wankendorf
Liege-Guillemins,XBLIG,5.5664376,50.6243164,1235738044.0,Liège-Guillemins
Bruxelles-Nord,XBBN,4.3608851,50.8603888,31093284.0,Brussel Noord - Bruxelles Nord
Bruxelles-Midi,XBB,4.3362419,50.8356748,17401552.0,Bruxelles-Midi - Brussel-Zuid
München Hbf Bfplatz,MHBP,,,,
München Marienhof,MMHO,11.5762099,48.138639,10180597915.0,Marienhof
München Ost tief,MOPT,,,,
Heerlen,XNH,5.9815066,50.8775239,406105.0,Heerlen
Landgraaf,XNLG,6.0293103,50.9024566,406384.0,Landgraaf
XNEM,XNEM,,,,
Hof Mitte,YNHOM,13.4135828,52.51868,4974583270.0,Amtsgericht Mitte
Forbach,XFFB,6.8958562,49.1862822,1162548.0,Forbach
